embedding	source	sample	reproductive_state	component_1	component_2
separate_pca	Reanalysis	Fe_At_SF_3	Abdominal Tip	-52.78835318281386	-24.403595721273934
separate_pca	Reanalysis	Fe_Br_BF_1	Brain	45.230522698455566	57.861265551814675
separate_pca	Reanalysis	Fe_Br_BF_2	Brain	50.394386162198	64.20856847393215
separate_pca	Reanalysis	Fe_Br_BF_3	Brain	72.13663923174785	71.25494153499992
separate_pca	Reanalysis	Fe_Br_BF_4	Brain	76.29884816135416	69.81336219023399
separate_pca	Reanalysis	Fe_Br_O_1	Brain	52.81151228276531	64.06676402566822
separate_pca	Reanalysis	Fe_Br_O_2	Brain	45.521329347294184	62.21012990180839
separate_pca	Reanalysis	Fe_Br_O_3	Brain	71.5991894005402	69.83497173469965
separate_pca	Reanalysis	Fe_Br_O_4	Brain	70.15486639693604	68.31547210666582
separate_pca	Reanalysis	Fe_Br_SF_1	Brain	72.27476014070486	64.88606810390999
separate_pca	Reanalysis	Fe_Br_SF_4	Brain	74.74668570607497	65.32403447658031
separate_pca	Reanalysis	Fe_Br_SF_5	Brain	56.901810247413806	70.17621638644232
separate_pca	Reanalysis	Fe_Br_SF_6	Brain	51.57525496729823	63.06086371174354
separate_pca	Reanalysis	Fe_Br_SF_7	Brain	77.34943378754237	73.98817327199147
separate_pca	Reanalysis	Fe_Br_SF_8	Brain	72.60456115822853	68.09438740585536
separate_pca	Reanalysis	Fe_FL_O_1	Forelegs	-39.77342598805415	-14.253467797106218
separate_pca	Reanalysis	Fe_FL_O_2	Forelegs	-36.51624714696158	-14.547047941209696
separate_pca	Reanalysis	Fe_FL_O_3	Forelegs	-27.547249779059023	-14.559139396823502
separate_pca	Reanalysis	Fe_FL_O_4	Forelegs	-36.70289815388227	-15.764063519329827
separate_pca	Reanalysis	Fe_FL_O_5	Forelegs	-40.24188086557539	-16.617652431762224
separate_pca	Reanalysis	Fe_FL_O_6	Forelegs	-49.19822303469404	-16.056950853506446
separate_pca	Reanalysis	Fe_FL_O_7	Forelegs	-53.898945897660575	-16.30344479574755
separate_pca	Reanalysis	Fe_FL_SF_1	Forelegs	-37.16101478060983	-11.113471125820517
separate_pca	Reanalysis	Fe_FL_SF_2	Forelegs	-32.06090604801816	-9.551117261791877
separate_pca	Reanalysis	Fe_FL_SF_3	Forelegs	-58.05309905330631	-16.158062910237874
separate_pca	Reanalysis	Fe_HL_BF_1	Hindlegs	-50.96209221838224	-14.148987343857534
separate_pca	Reanalysis	Fe_HL_BF_2	Hindlegs	-33.04770391620421	-21.35566823851346
separate_pca	Reanalysis	Fe_HL_BF_3	Hindlegs	-40.08390265458497	-13.38340343959009
separate_pca	Reanalysis	Fe_HL_BF_4	Hindlegs	-43.611272114518975	-14.854150518563026
separate_pca	Reanalysis	Fe_HL_O_1	Hindlegs	-29.07639207354728	-13.555222488201865
