embedding	source	sample	reproductive_state	component_1	component_2
procrustes_aligned_separate_pca	Reanalysis	Fe_Ov_6hBF_2_TPM	6 hours post-blood-meal	-0.1206578743203378	-0.028138525024888762
procrustes_aligned_separate_pca	Reanalysis	Fe_Ov_6hBF_3_TPM	6 hours post-blood-meal	-0.11845378256665684	-0.04761048823913929
procrustes_aligned_separate_pca	Reanalysis	Fe_Ov_12hBF_1_TPM	12 hours post-blood-meal	-0.13554255237673993	0.035338913909863635
procrustes_aligned_separate_pca	Reanalysis	Fe_Ov_12hBF_2_TPM	12 hours post-blood-meal	-0.1360581569027525	0.018583750703441638
procrustes_aligned_separate_pca	Reanalysis	Fe_Ov_12hBF_3_TPM	12 hours post-blood-meal	-0.12664866883636114	0.0028024413476727275
procrustes_aligned_separate_pca	Reanalysis	Fe_Ov_24hBF_1_TPM	24 hours (1 day) post-blood-meal	-0.15535142666325055	0.0985421466697774
procrustes_aligned_separate_pca	Reanalysis	Fe_Ov_24hBF_2_TPM	24 hours (1 day) post-blood-meal	-0.15235327422702863	0.09310228409811742
procrustes_aligned_separate_pca	Reanalysis	Fe_Ov_24hBF_3_TPM	24 hours (1 day) post-blood-meal	-0.14815280714329496	0.09722828688258787
procrustes_aligned_separate_pca	Reanalysis	Fe_Ov_48hBF_1_TPM	48 hours (2 days) post-blood-meal	-0.13204820490509173	0.2129376428597706
procrustes_aligned_separate_pca	Reanalysis	Fe_Ov_48hBF_2_TPM	48 hours (2 days) post-blood-meal	-0.11450212991634091	0.2069781837699726
procrustes_aligned_separate_pca	Reanalysis	Fe_Ov_48hBF_3_TPM	48 hours (2 days) post-blood-meal	-0.11801061283117825	0.20328828403138097
procrustes_aligned_separate_pca	Reanalysis	Fe_Ov_72hBF_1_TPM	72 hours (3 days) post-blood-meal	0.31546521338451156	0.14136589660858312
procrustes_aligned_separate_pca	Reanalysis	Fe_Ov_72hBF_2_TPM	72 hours (3 days) post-blood-meal	0.23918922015273328	0.03040509143718419
procrustes_aligned_separate_pca	Reanalysis	Fe_Ov_72hBF_3_TPM	72 hours (3 days) post-blood-meal	0.3180226235524054	0.1339094782647366
procrustes_aligned_separate_pca	Reanalysis	Fe_Ov_96hBF_1_TPM	96 hours (4 days) post-blood-meal	0.17234731768751033	-0.007943950713082936
procrustes_aligned_separate_pca	Reanalysis	Fe_Ov_96hBF_2_TPM	96 hours (4 days) post-blood-meal	0.18858946300957072	-0.013589781804743874
procrustes_aligned_separate_pca	Reanalysis	Fe_Ov_96hBF_3_TPM	96 hours (4 days) post-blood-meal	0.18080021000661214	0.002453750541115052
procrustes_aligned_separate_pca	Reanalysis	Fe_Ov_6dBF_Retained_1_TPM	6 days post-blood-meal (eggs retained)	0.11446733473992907	-0.04289279773606594
procrustes_aligned_separate_pca	Reanalysis	Fe_Ov_6dBF_Retained_2_TPM	6 days post-blood-meal (eggs retained)	0.12360585892770282	-0.055784634092647195
procrustes_aligned_separate_pca	Reanalysis	Fe_Ov_6dBF_Retained_3_TPM	6 days post-blood-meal (eggs retained)	0.12293795757519221	-0.053065808361809214
procrustes_aligned_separate_pca	Reanalysis	Fe_Ov_6dBF_Laid_1_TPM	6 days post-blood-meal (eggs laid <5 hours prior)	0.12449291801362976	-0.05223217568987947
procrustes_aligned_separate_pca	Reanalysis	Fe_Ov_6dBF_Laid_2_TPM	6 days post-blood-meal (eggs laid <5 hours prior)	0.12935344888902117	-0.053848937464236774
procrustes_aligned_separate_pca	Reanalysis	Fe_Ov_6dBF_Laid_3_TPM	6 days post-blood-meal (eggs laid <5 hours prior)	0.12792790914719113	-0.061774088825354796
procrustes_aligned_separate_pca	Reanalysis	Fe_Ov_13dBF_1_TPM	13 days post-blood-meal (eggs laid >1 week prior)	-0.03967445845891656	-0.11391001859715869
procrustes_aligned_separate_pca	Reanalysis	Fe_Ov_13dBF_2_TPM	13 days post-blood-meal (eggs laid >1 week prior)	-0.05221540342481495	-0.10170100055173786
procrustes_aligned_separate_pca	Reanalysis	Fe_Ov_13dBF_3_TPM	13 days post-blood-meal (eggs laid >1 week prior)	-0.0425614865646355	-0.10259737885648479
joint_pca	Published	Fe_Ov_NBF_1_TPM	Non-blood-fed	33.78045715316933	-6.158400860824707
joint_pca	Published	Fe_Ov_NBF_2_TPM	Non-blood-fed	34.02818233826135	-6.84160624025529
joint_pca	Published	Fe_Ov_NBF_3_TPM	Non-blood-fed	32.45453865785056	-6.923445021192344
joint_pca	Published	Fe_Ov_3hBF_1_TPM	3 hours post-blood-meal	32.71529526828432	-12.642416204341263
joint_pca	Published	Fe_Ov_3hBF_2_TPM	3 hours post-blood-meal	36.48798278257759	-11.781663763432805
joint_pca	Published	Fe_Ov_3hBF_3_TPM	3 hours post-blood-meal	34.41168852720047	-11.508132300323286
joint_pca	Published	Fe_Ov_6hBF_1_TPM	6 hours post-blood-meal	35.40072661557252	-15.453130349567962
joint_pca	Published	Fe_Ov_6hBF_2_TPM	6 hours post-blood-meal	38.1726125729006	-16.272412459266768
joint_pca	Published	Fe_Ov_6hBF_3_TPM	6 hours post-blood-meal	36.86933503333175	-15.942020956958567
joint_pca	Published	Fe_Ov_12hBF_1_TPM	12 hours post-blood-meal	34.285325359216195	-20.488310498113776
joint_pca	Published	Fe_Ov_12hBF_2_TPM	12 hours post-blood-meal	36.30441824383926	-19.743101888865457
joint_pca	Published	Fe_Ov_12hBF_3_TPM	12 hours post-blood-meal	39.307305268141185	-18.7074688944106
joint_pca	Published	Fe_Ov_24hBF_1_TPM	24 hours (1 day) post-blood-meal	36.33518090447872	-25.384290100014013
joint_pca	Published	Fe_Ov_24hBF_2_TPM	24 hours (1 day) post-blood-meal	37.246843217663105	-24.475363585324892
joint_pca	Published	Fe_Ov_24hBF_3_TPM	24 hours (1 day) post-blood-meal	40.097521941324295	-23.117187648815207
joint_pca	Published	Fe_Ov_48hBF_1_TPM	48 hours (2 days) post-blood-meal	31.420773998701584	-24.426272254636135
joint_pca	Published	Fe_Ov_48hBF_2_TPM	48 hours (2 days) post-blood-meal	30.347699708764015	-20.2529005315149
joint_pca	Published	Fe_Ov_48hBF_3_TPM	48 hours (2 days) post-blood-meal	31.214331121332748	-21.352137222622893
joint_pca	Published	Fe_Ov_72hBF_1_TPM	72 hours (3 days) post-blood-meal	22.28662959433477	52.80286072232423
joint_pca	Published	Fe_Ov_72hBF_2_TPM	72 hours (3 days) post-blood-meal	27.45452194507738	37.544732886413954
joint_pca	Published	Fe_Ov_72hBF_3_TPM	72 hours (3 days) post-blood-meal	27.366899564774812	52.821256278889415
joint_pca	Published	Fe_Ov_96hBF_1_TPM	96 hours (4 days) post-blood-meal	26.69629201404496	27.51338225602151
joint_pca	Published	Fe_Ov_96hBF_2_TPM	96 hours (4 days) post-blood-meal	25.080390760674035	29.765026477636557
joint_pca	Published	Fe_Ov_96hBF_3_TPM	96 hours (4 days) post-blood-meal	25.664286240496764	28.787896427424776
joint_pca	Published	Fe_Ov_6dBF_Retained_1_TPM	6 days post-blood-meal (eggs retained)	22.272594180509547	19.139993298696744
joint_pca	Published	Fe_Ov_6dBF_Retained_2_TPM	6 days post-blood-meal (eggs retained)	23.23188078174621	20.32223217776986
joint_pca	Published	Fe_Ov_6dBF_Retained_3_TPM	6 days post-blood-meal (eggs retained)	23.308542326612375	19.608118329926533
